,Unnamed: 0,Rank,CCA3,Country,Continent,2022 Population,2015 Population,1990 Population,1970 Population,Area (km²),Density (per km²),World Population Percentage
207,207,155,TLS,Timor-Leste,Asia,1341296,1205813,758106,554021,14874,90.1772,0.02
208,208,100,TGO,Togo,Africa,8848699,7473229,3875947,2197383,56785,155.8281,0.11
209,209,233,TKL,Tokelau,Oceania,1871,1454,1669,1714,12,155.9167,0.0
210,210,197,TON,Tonga,Oceania,106858,106122,98727,86484,747,143.0495,0.0
211,211,153,TTO,Trinidad and Tobago,North America,1531044,1460177,1266518,988890,5130,298.4491,0.02
212,212,79,TUN,Tunisia,Africa,12356117,11557779,8440023,5047404,163610,75.5218,0.15
213,213,18,TUR,Turkey,Asia,85341241,79646178,54324142,35540990,783562,108.9145,1.07
214,214,111,TKM,Turkmenistan,Asia,6430770,5766431,3720278,2201432,488100,13.1751,0.08
215,215,212,TCA,Turks and Caicos Islands,North America,45703,36538,11709,5665,948,48.2099,0.0
216,216,227,TUV,Tuvalu,Oceania,11312,10877,9182,5814,26,435.0769,0.0
217,217,31,UGA,Uganda,Africa,47249585,37477356,17586630,10317212,241550,195.61,0.59
218,218,38,UKR,Ukraine,Europe,39701739,44982564,51589817,47279086,603500,65.7858,0.5
219,219,97,ARE,United Arab Emirates,Asia,9441129,8916899,1900151,298084,83600,112.9322,0.12
220,220,21,GBR,United Kingdom,Europe,67508936,65224364,57210442,55650166,242900,277.9289,0.85
221,221,3,USA,United States,North America,338289857,324607776,248083732,200328340,9372610,36.0935,4.24
222,222,200,VIR,United States Virgin Islands,North America,99465,102803,100685,63446,347,286.6427,0.0
223,223,133,URY,Uruguay,South America,3422794,3402818,3117012,2790265,181034,18.9069,0.04
224,224,43,UZB,Uzbekistan,Asia,34627652,30949417,20579100,12011361,447400,77.3975,0.43
225,225,181,VUT,Vanuatu,Oceania,326740,276438,150882,87019,12189,26.8061,0.0
226,226,234,VAT,Vatican City,Europe,510,564,700,752,1,510.0,0.0
227,227,51,VEN,Venezuela,South America,28301696,30529716,19750579,11355475,916445,30.882,0.35
228,228,16,VNM,Vietnam,Asia,98186856,92191398,66912613,41928849,331212,296.4472,1.23
229,229,226,WLF,Wallis and Futuna,Oceania,11572,12182,13454,9377,142,81.493,0.0
230,230,172,ESH,Western Sahara,Africa,575986,491824,178529,76371,266000,2.1654,0.01
231,231,46,YEM,Yemen,Asia,33696614,28516545,13375121,6843607,527968,63.8232,0.42
232,232,63,ZMB,Zambia,Africa,20017675,16248230,7686401,4281671,752612,26.5976,0.25
233,233,74,ZWE,Zimbabwe,Africa,16320537,14154937,10113893,5202918,390757,41.7665,0.2
